  -0.10397500   1.24481500   2.60916000 -167.86548635 
  -0.10397500   1.29481500   2.20916000 -167.66105631 
  -0.10397500   1.29481500   2.25916000 -167.75283531 
  -0.10397500   1.29481500   2.30916000 -167.81211786 
  -0.10397500   1.29481500   2.35916000 -167.84805550 
  -0.10397500   1.29481500   2.40916000 -167.86732377 
  -0.10397500   1.29481500   2.45916000 -167.87486896 
  -0.10397500   1.29481500   2.50916000 -167.87435694 
  -0.10397500   1.29481500   2.55916000 -167.86846503 
  -0.10397500   1.29481500   2.60916000 -167.85912847 
  -0.10397500   1.34481500   2.20916000 -167.51540879 
  -0.10397500   1.34481500   2.25916000 -167.65061913 
  -0.10397500   1.34481500   2.30916000 -167.74109818 
  -0.10397500   1.34481500   2.35916000 -167.79921806 
  -0.10397500   1.34481500   2.40916000 -167.83409715 
  -0.10397500   1.34481500   2.45916000 -167.85238135 
  -0.10397500   1.34481500   2.50916000 -167.85901471 
  -0.10397500   1.34481500   2.55916000 -167.85760046 
  -0.10397500   1.34481500   2.60916000 -167.85086553 
  -0.10397500   1.39481500   2.20916000 -167.31043005 
  -0.10397500   1.39481500   2.25916000 -167.50586372 
  -0.10397500   1.39481500   2.30916000 -167.63962916 
  -0.10397500   1.39481500   2.35916000 -167.72880440 
  -0.10397500   1.39481500   2.40916000 -167.78579231 
  -0.10397500   1.39481500   2.45916000 -167.81961713 
  -0.10397500   1.39481500   2.50916000 -167.83691947 
  -0.10397500   1.39481500   2.55916000 -167.84261272 
  -0.10397500   1.39481500   2.60916000 -167.84031893 
  -0.05397500   0.99481500   2.20916000 -167.86435044 
  -0.05397500   0.99481500   2.25916000 -167.86449116 
  -0.05397500   0.99481500   2.30916000 -167.86041266 
  -0.05397500   0.99481500   2.35916000 -167.85341375 
  -0.05397500   0.99481500   2.40916000 -167.84441513 
  -0.05397500   0.99481500   2.45916000 -167.83408753 
  -0.05397500   0.99481500   2.50916000 -167.82292496 
  -0.05397500   0.99481500   2.55916000 -167.81129691 
  -0.05397500   0.99481500   2.60916000 -167.79947620 
  -0.05397500   1.04481500   2.20916000 -167.89020782 
  -0.05397500   1.04481500   2.25916000 -167.89538743 
  -0.05397500   1.04481500   2.30916000 -167.89466976 
  -0.05397500   1.04481500   2.35916000 -167.88990002 
  -0.05397500   1.04481500   2.40916000 -167.88237099 
  -0.05397500   1.04481500   2.45916000 -167.87298684 
  -0.05397500   1.04481500   2.50916000 -167.86239884 
  -0.05397500   1.04481500   2.55916000 -167.85108066 
  -0.05397500   1.04481500   2.60916000 -167.83938222 
  -0.05397500   1.09481500   2.20916000 -167.89435386 
  -0.05397500   1.09481500   2.25916000 -167.90690360 
  -0.05397500   1.09481500   2.30916000 -167.91107697 
  -0.05397500   1.09481500   2.35916000 -167.90949215 
  -0.05397500   1.09481500   2.40916000 -167.90400677 
  -0.05397500   1.09481500   2.45916000 -167.89591196 
  -0.05397500   1.09481500   2.50916000 -167.88610029 
  -0.05397500   1.09481500   2.55916000 -167.87520743 
  -0.05397500   1.09481500   2.60916000 -167.86368731 
  -0.05397500   1.14481500   2.20916000 -167.87749000 
  -0.05397500   1.14481500   2.25916000 -167.90090996 
  -0.05397500   1.14481500   2.30916000 -167.91236862 
  -0.05397500   1.14481500   2.35916000 -167.91555832 
  -0.05397500   1.14481500   2.40916000 -167.91310339 
  -0.05397500   1.14481500   2.45916000 -167.90687971 
  -0.05397500   1.14481500   2.50916000 -167.89818199 
  -0.05397500   1.14481500   2.55916000 -167.88789922 
  -0.05397500   1.14481500   2.60916000 -167.87665469 
  -0.05397500   1.19481500   2.20916000 -167.83783942 
  -0.05397500   1.19481500   2.25916000 -167.87702173 
  -0.05397500   1.19481500   2.30916000 -167.89933426 
  -0.05397500   1.19481500   2.35916000 -167.90975917 
  -0.05397500   1.19481500   2.40916000 -167.91199003 
  -0.05397500   1.19481500   2.45916000 -167.90866622 
  -0.05397500   1.19481500   2.50916000 -167.90168481 
  -0.05397500   1.19481500   2.55916000 -167.89234878 
  -0.05397500   1.19481500   2.60916000 -167.88155200 
  -0.05397500   1.24481500   2.20916000 -167.77106705 
  -0.05397500   1.24481500   2.25916000 -167.83270895 
  -0.05397500   1.24481500   2.30916000 -167.87078876 
  -0.05397500   1.24481500   2.35916000 -167.89205716 
  -0.05397500   1.24481500   2.40916000 -167.90149880 
  -0.05397500   1.24481500   2.45916000 -167.90278318 
  -0.05397500   1.24481500   2.50916000 -167.89859604 
  -0.05397500   1.24481500   2.55916000 -167.89084085 
  -0.05397500   1.24481500   2.60916000 -167.88083573 
  -0.05397500   1.29481500   2.20916000 -167.67013634 
  -0.05397500   1.29481500   2.25916000 -167.76319804 
  -0.05397500   1.29481500   2.30916000 -167.82366387 
  -0.05397500   1.29481500   2.35916000 -167.86064468 
  -0.05397500   1.29481500   2.40916000 -167.88090407 
  -0.05397500   1.29481500   2.45916000 -167.88938857 
  -0.05397500   1.29481500   2.50916000 -167.88977171 
  -0.05397500   1.29481500   2.55916000 -167.88472813 
  -0.05397500   1.29481500   2.60916000 -167.87618675 
  -0.05397500   1.34481500   2.20916000 -167.52441612 
  -0.05397500   1.34481500   2.25916000 -167.66106792 
  -0.05397500   1.34481500   2.30916000 -167.75283602 
  -0.05397500   1.34481500   2.35916000 -167.81211786 
  -0.05397500   1.34481500   2.40916000 -167.84805550 
  -0.05397500   1.34481500   2.45916000 -167.86732376 
  -0.05397500   1.34481500   2.50916000 -167.87486897 
  -0.05397500   1.34481500   2.55916000 -167.87435694 
  -0.05397500   1.34481500   2.60916000 -167.86846503 
  -0.05397500   1.39481500   2.20916000 -167.31838220 
  -0.05397500   1.39481500   2.25916000 -167.51541996 
  -0.05397500   1.39481500   2.30916000 -167.65061901 
  -0.05397500   1.39481500   2.35916000 -167.74109803 
  -0.05397500   1.39481500   2.40916000 -167.79921802 
  -0.05397500   1.39481500   2.45916000 -167.83409713 
  -0.05397500   1.39481500   2.50916000 -167.85238134 
  -0.05397500   1.39481500   2.55916000 -167.85901471 
  -0.05397500   1.39481500   2.60916000 -167.85760047 
  -0.00397500   0.99481500   2.20916000 -167.81250777 
  -0.00397500   0.99481500   2.25916000 -167.81350175 
  -0.00397500   0.99481500   2.30916000 -167.81009100 
  -0.00397500   0.99481500   2.35916000 -167.80359047 
  -0.00397500   0.99481500   2.40916000 -167.79494286 
  -0.00397500   0.99481500   2.45916000 -167.78483632 
  -0.00397500   0.99481500   2.50916000 -167.77378772 
  -0.00397500   0.99481500   2.55916000 -167.76218435 
  -0.00397500   0.99481500   2.60916000 -167.75032067 
  -0.00397500   1.04481500   2.20916000 -167.85814176 
  -0.00397500   1.04481500   2.25916000 -167.86434811 
  -0.00397500   1.04481500   2.30916000 -167.86449110 
  -0.00397500   1.04481500   2.35916000 -167.86041266 
  -0.00397500   1.04481500   2.40916000 -167.85341375 
  -0.00397500   1.04481500   2.45916000 -167.84441513 
  -0.00397500   1.04481500   2.50916000 -167.83408753 
  -0.00397500   1.04481500   2.55916000 -167.82292496 
  -0.00397500   1.04481500   2.60916000 -167.81129691 
  -0.00397500   1.09481500   2.20916000 -167.87653511 
  -0.00397500   1.09481500   2.25916000 -167.89020762 
  -0.00397500   1.09481500   2.30916000 -167.89538744 
  -0.00397500   1.09481500   2.35916000 -167.89466976 
  -0.00397500   1.09481500   2.40916000 -167.88990002 
  -0.00397500   1.09481500   2.45916000 -167.88237099 
  -0.00397500   1.09481500   2.50916000 -167.87298684 
  -0.00397500   1.09481500   2.55916000 -167.86239884 
  -0.00397500   1.09481500   2.60916000 -167.85108066 
  -0.00397500   1.14481500   2.20916000 -167.86979429 
  -0.00397500   1.14481500   2.25916000 -167.89436178 
  -0.00397500   1.14481500   2.30916000 -167.90690368 
  -0.00397500   1.14481500   2.35916000 -167.91107697 
  -0.00397500   1.14481500   2.40916000 -167.90949215 
  -0.00397500   1.14481500   2.45916000 -167.90400677 
  -0.00397500   1.14481500   2.50916000 -167.89591196 
  -0.00397500   1.14481500   2.55916000 -167.88610030 
  -0.00397500   1.14481500   2.60916000 -167.87520743 
  -0.00397500   1.19481500   2.20916000 -167.83716482 
  -0.00397500   1.19481500   2.25916000 -167.87750603 
  -0.00397500   1.19481500   2.30916000 -167.90091021 
  -0.00397500   1.19481500   2.35916000 -167.91236862 
  -0.00397500   1.19481500   2.40916000 -167.91555832 
  -0.00397500   1.19481500   2.45916000 -167.91310338 
  -0.00397500   1.19481500   2.50916000 -167.90687971 
