  -1.31145000   3.18892500 -167.71186059 
  -1.31145000   3.29261667 -167.71170134 
  -1.31145000   3.39630833 -167.71156430 
  -1.31145000   3.50000000 -167.71144505 
  -1.41566667   1.01140000 -167.80950250 
  -1.41566667   1.11509167 -167.87845572 
  -1.41566667   1.21878333 -167.88587085 
  -1.41566667   1.32247500 -167.86199684 
  -1.41566667   1.42616667 -167.82407873 
  -1.41566667   1.52985833 -167.78204116 
  -1.41566667   1.63355000 -167.74486120 
  -1.41566667   1.73724167 -167.71722293 
  -1.41566667   1.84093333 -167.69796411 
  -1.41566667   1.94462500 -167.68557852 
  -1.41566667   2.04831667 -167.67802532 
  -1.41566667   2.15200833 -167.67351731 
  -1.41566667   2.25570000 -167.67091622 
  -1.41566667   2.35939167 -167.66936519 
  -1.41566667   2.46308333 -167.66841178 
  -1.41566667   2.56677500 -167.66800022 
  -1.41566667   2.67046667 -167.66731006 
  -1.41566667   2.77415833 -167.66698512 
  -1.41566667   2.87785000 -167.66673174 
  -1.41566667   2.98154167 -167.66651507 
  -1.41566667   3.08523333 -167.66632273 
  -1.41566667   3.18892500 -167.66616093 
  -1.41566667   3.29261667 -167.66604309 
  -1.41566667   3.39630833 -167.66593062 
  -1.41566667   3.50000000 -167.66582670 
  -1.51988333   1.01140000 -167.78725160 
  -1.51988333   1.11509167 -167.85538593 
  -1.51988333   1.21878333 -167.86155544 
  -1.51988333   1.32247500 -167.83599202 
  -1.51988333   1.42616667 -167.79605264 
  -1.51988333   1.52985833 -167.75177148 
  -1.51988333   1.63355000 -167.71204233 
  -1.51988333   1.73724167 -167.68201901 
  -1.51988333   1.84093333 -167.66100974 
  -1.51988333   1.94462500 -167.64718727 
  -1.51988333   2.04831667 -167.63851646 
  -1.51988333   2.15200833 -167.63331558 
  -1.51988333   2.25570000 -167.63007207 
  -1.51988333   2.35939167 -167.62794534 
  -1.51988333   2.46308333 -167.62668930 
  -1.51988333   2.56677500 -167.62587489 
  -1.51988333   2.67046667 -167.62554065 
  -1.51988333   2.77415833 -167.62506575 
  -1.51988333   2.87785000 -167.62471397 
  -1.51988333   2.98154167 -167.62443528 
  -1.51988333   3.08523333 -167.62420487 
  -1.51988333   3.18892500 -167.62401820 
  -1.51988333   3.29261667 -167.62386715 
  -1.51988333   3.39630833 -167.62374469 
  -1.51988333   3.50000000 -167.62364169 
  -1.62410000   1.01140000 -167.76276856 
  -1.62410000   1.11509167 -167.83083201 
  -1.62410000   1.21878333 -167.83650923 
  -1.62410000   1.32247500 -167.81003392 
  -1.62410000   1.42616667 -167.76882821 
  -1.62410000   1.52985833 -167.72314104 
  -1.62410000   1.63355000 -167.68209305 
  -1.62410000   1.73724167 -167.65108747 
  -1.62410000   1.84093333 -167.62945784 
  -1.62410000   1.94462500 -167.61517302 
  -1.62410000   2.04831667 -167.60608887 
  -1.62410000   2.15200833 -167.60048284 
  -1.62410000   2.25570000 -167.59696761 
  -1.62410000   2.35939167 -167.59490503 
  -1.62410000   2.46308333 -167.59340075 
  -1.62410000   2.56677500 -167.59250434 
  -1.62410000   2.67046667 -167.59187946 
  -1.62410000   2.77415833 -167.59143456 
  -1.62410000   2.87785000 -167.59122596 
  -1.62410000   2.98154167 -167.59095143 
  -1.62410000   3.08523333 -167.59072135 
  -1.62410000   3.18892500 -167.59053867 
  -1.62410000   3.29261667 -167.59039353 
  -1.62410000   3.39630833 -167.59027839 
  -1.62410000   3.50000000 -167.59018216 
  -1.72831667   1.01140000 -167.73867725 
  -1.72831667   1.11509167 -167.80711957 
  -1.72831667   1.21878333 -167.81271446 
  -1.72831667   1.32247500 -167.78586497 
  -1.72831667   1.42616667 -167.74402947 
  -1.72831667   1.52985833 -167.69764346 
  -1.72831667   1.63355000 -167.65628102 
  -1.72831667   1.73724167 -167.62524618 
  -1.72831667   1.84093333 -167.60356483 
  -1.72831667   1.94462500 -167.58921586 
  -1.72831667   2.04831667 -167.58000186 
  -1.72831667   2.15200833 -167.57422007 
  -1.72831667   2.25570000 -167.57060557 
  -1.72831667   2.35939167 -167.56833918 
  -1.72831667   2.46308333 -167.56689333 
  -1.72831667   2.56677500 -167.56596811 
  -1.72831667   2.67046667 -167.56533080 
  -1.72831667   2.77415833 -167.56488261 
  -1.72831667   2.87785000 -167.56456341 
  -1.72831667   2.98154167 -167.56432137 
  -1.72831667   3.08523333 -167.56417635 
  -1.72831667   3.18892500 -167.56401073 
